Tempo_ms,Movimento,LDR
4628,0,472
4771,0,471
4916,0,469
5060,0,469
5203,0,469
5348,0,470
5492,0,467
5637,0,469
5780,0,466
5924,0,466
6069,0,464
6212,0,468
6356,0,466
6501,0,468
6644,0,468
6789,1,467
6934,1,467
7079,1,468
7225,1,468
7371,1,467
7517,1,466
7662,1,466
7808,1,467
7953,1,467
8098,1,468
8244,1,467
8389,1,467
8536,1,467
8681,1,467
8826,1,468
8972,1,469
9117,1,462
9263,1,462
9408,1,462
9554,1,463
9700,1,462
9845,1,462
9991,1,462
10136,1,463
10281,1,463
10427,1,462
10573,1,462
10719,1,462
10864,0,463
11009,0,462
11152,0,463
11296,0,462
11441,0,461
11585,0,461
11728,0,461
11873,0,461
12017,0,462
12161,0,460
12305,0,461
12449,0,462
12594,0,464
12737,0,464
12881,0,465
13026,0,463
13170,0,465
13314,0,464
13458,0,464
13602,1,465
13748,1,466
13893,1,466
14039,1,465
14184,1,465
14330,1,466
14476,1,466
14621,1,466
14767,1,467
14912,1,468
15057,1,468
15204,1,468
15349,1,466
15495,1,467
15640,1,468
15785,1,468
15931,1,467
16077,1,467
16223,1,466
16368,1,464
16514,1,464
16659,1,463
16804,1,460
16951,1,459
17096,1,461
17242,1,465
17387,1,466
17532,1,465
17679,1,465
17824,1,463
17970,1,461
18115,1,456
18260,1,455
18406,1,457
18552,0,458
18696,0,457
18840,0,460
18984,0,459
19128,0,461
19272,0,464
19417,0,465
19561,0,464
19704,0,466
19849,0,464
19993,0,464
20137,0,465
20281,0,463
20425,0,463
20570,0,464
20713,0,465
20857,0,466
21002,0,466
21146,1,465
21292,1,464
21437,1,464
21582,1,464
21728,1,464
21873,1,464
22020,1,466
22165,1,465
22310,0,464
22455,0,465
22598,0,464
22743,0,464
22887,0,465
23030,0,464
23175,0,465
23319,0,464
23463,0,464
23607,0,463
23751,0,462
23896,0,464
24040,0,464
24183,0,464
24328,0,463
24472,0,463
24615,1,464
24762,1,463
24907,1,462
25053,1,462
25198,1,463
25344,1,463
25490,1,461
25635,1,463
25781,0,461
25925,0,462
26068,0,462
26213,0,462
26357,0,461
26502,0,462
26645,0,460
26789,0,461
26934,0,461
27077,0,459
27222,0,459
27366,0,457
27510,0,457
27654,0,459
27798,0,460
27942,0,460
28086,0,460
28230,0,462
28375,0,465
28519,0,466
28662,0,469
28807,1,471
28952,1,472
29097,1,476
29244,1,478
29389,1,479
29535,1,479
29680,1,481
29826,1,481
29971,1,482
30117,1,482
30263,1,480
30408,1,482
30554,1,481
30699,1,480
30844,1,481
30991,0,481
31134,0,481
31279,0,481
31423,0,480
31566,0,482
31711,0,482
31855,0,480
32000,0,479
32143,0,479
32287,0,480
32432,0,478
32576,0,478
32719,0,478
32864,0,479
33008,0,479
33152,0,478
33296,0,479
33440,0,479
